RecordNumber,Zipcode,ZipCodeType,City,State,LocationType,Latitude,Longitude,Xaxis,Yaxis,Zaxis,WorldRegion,Country,LocationText,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,AvgWages,Notes
70774,60629,STANDARD,CHICAGO,IL,PRIMARY,41.83,-87.68,0.03,-0.74,0.66,NA,US,"Chicago, IL",NA-US-IL-CHICAGO,false,44434,84106,1219315805,14497.4,
70784,60632,STANDARD,CHICAGO,IL,PRIMARY,41.83,-87.68,0.03,-0.74,0.66,NA,US,"Chicago, IL",NA-US-IL-CHICAGO,false,32858,63860,877276155,13737.5,
70789,60634,STANDARD,CHICAGO,IL,PRIMARY,41.83,-87.68,0.03,-0.74,0.66,NA,US,"Chicago, IL",NA-US-IL-CHICAGO,false,37190,63211,1150271704,18197.3,
70800,60639,STANDARD,CHICAGO,IL,PRIMARY,41.83,-87.68,0.03,-0.74,0.66,NA,US,"Chicago, IL",NA-US-IL-CHICAGO,false,35385,65832,917319255,13934.2,
70803,60641,STANDARD,CHICAGO,IL,PRIMARY,41.83,-87.68,0.03,-0.74,0.66,NA,US,"Chicago, IL",NA-US-IL-CHICAGO,false,32803,56207,1064414138,18937.4,
70813,60647,STANDARD,CHICAGO,IL,PRIMARY,41.83,-87.68,0.03,-0.74,0.66,NA,US,"Chicago, IL",NA-US-IL-CHICAGO,false,40214,62570,1724980133,27568.8,
70907,60804,STANDARD,CICERO,IL,PRIMARY,41.84,-87.75,0.02,-0.74,0.66,NA,US,"Cicero, IL",NA-US-IL-CICERO,false,30583,59521,826864807,13892,
72337,63021,STANDARD,BALLWIN,MO,PRIMARY,38.59,-90.55,-0.0075353,-0.78,0.62,NA,US,"Ballwin, MO",NA-US-MO-BALLWIN,false,27874,50402,1651341754,32763.4,
73149,63376,STANDARD,"SAINT PETERS",MO,PRIMARY,38.77,-90.6,-0.00823563,-0.77,0.62,NA,US,"Saint Peters, MO","NA-US-MO-SAINT PETERS",false,35456,63056,1619900964,25689.9,
74182,20906,STANDARD,"SILVER SPRING",MD,PRIMARY,39.01,-77.02,0.17,-0.75,0.62,NA,US,"Silver Spring, MD","NA-US-MD-SILVER SPRING",false,32788,53137,1194794011,22485.2,
74403,21234,STANDARD,PARKVILLE,MD,PRIMARY,39.38,-76.55,0.17,-0.75,0.63,NA,US,"Parkville, MD",NA-US-MD-PARKVILLE,false,34816,56528,1305593265,23096.4,
74766,21122,STANDARD,PASADENA,MD,PRIMARY,39.11,-76.55,0.18,-0.75,0.63,NA,US,"Pasadena, MD",NA-US-MD-PASADENA,false,29046,51804,1554364968,30004.7,
75384,22193,STANDARD,WOODBRIDGE,VA,PRIMARY,38.63,-77.26,0.17,-0.76,0.62,NA,US,"Woodbridge, VA",NA-US-VA-WOODBRIDGE,false,32955,60216,1665525403,27659.2,
75520,23322,STANDARD,CHESAPEAKE,VA,PRIMARY,36.67,-76.3,0.18,-0.77,0.59,NA,US,"Chesapeake, VA",NA-US-VA-CHESAPEAKE,false,26477,51229,1461009556,28519.2,
76384,23454,STANDARD,"VIRGINIA BEACH",VA,PRIMARY,36.73,-76.04,0.19,-0.77,0.59,NA,US,"Virginia Beach, VA","NA-US-VA-VIRGINIA BEACH",false,28984,50900,1318946115,25912.5,
76410,23464,STANDARD,"VIRGINIA BEACH",VA,PRIMARY,36.73,-76.04,0.19,-0.77,0.59,NA,US,"Virginia Beach, VA","NA-US-VA-VIRGINIA BEACH",false,34946,62321,1384969932,22223.2,
77846,28269,STANDARD,CHARLOTTE,NC,PRIMARY,35.19,-80.83,0.13,-0.8,0.57,NA,US,"Charlotte, NC",NA-US-NC-CHARLOTTE,false,31758,56159,1487198774,26481.9,
79297,29483,STANDARD,SUMMERVILLE,SC,PRIMARY,33,-80.17,0.14,-0.82,0.54,NA,US,"Summerville, SC",NA-US-SC-SUMMERVILLE,false,28413,51619,998665611,19346.9,
79490,30339,STANDARD,ATLANTA,GA,PRIMARY,33.86,-84.47,0.08,-0.82,0.55,NA,US,"Atlanta, GA",NA-US-GA-ATLANTA,false,54293,58926,660939377,11216.4,
79519,30349,STANDARD,ATLANTA,GA,PRIMARY,33.61,-84.49,0.07,-0.82,0.55,NA,US,"Atlanta, GA",NA-US-GA-ATLANTA,false,31987,53061,971165472,18302.8,
79616,31139,"PO BOX",ATLANTA,GA,PRIMARY,33.76,-84.42,0.08,-0.82,0.55,NA,US,"Atlanta, GA",NA-US-GA-ATLANTA,false,70484,70657,16371673,231.706,
79877,30043,STANDARD,LAWRENCEVILLE,GA,PRIMARY,33.94,-83.99,0.08,-0.82,0.55,NA,US,"Lawrenceville, GA",NA-US-GA-LAWRENCEVILLE,false,33052,61947,1502398794,24253,
79878,30044,STANDARD,LAWRENCEVILLE,GA,PRIMARY,33.94,-83.99,0.08,-0.82,0.55,NA,US,"Lawrenceville, GA",NA-US-GA-LAWRENCEVILLE,false,34744,63934,1229572821,19231.9,
79879,30045,STANDARD,LAWRENCEVILLE,GA,PRIMARY,33.94,-83.99,0.08,-0.82,0.55,NA,US,"Lawrenceville, GA",NA-US-GA-LAWRENCEVILLE,false,27570,50810,991565892,19515.2,
79916,30062,STANDARD,MARIETTA,GA,PRIMARY,33.95,-84.54,0.07,-0.82,0.55,NA,US,"Marietta, GA",NA-US-GA-MARIETTA,false,28663,53468,1769445274,33093.5,
80030,30281,STANDARD,STOCKBRIDGE,GA,PRIMARY,33.54,-84.24,0.08,-0.82,0.55,NA,US,"Stockbridge, GA",NA-US-GA-STOCKBRIDGE,false,28449,51336,1079969125,21037.3,
80046,30024,STANDARD,SUWANEE,GA,PRIMARY,34.05,-84.07,0.08,-0.82,0.55,NA,US,"Suwanee, GA",NA-US-GA-SUWANEE,false,26960,55195,1971018916,35710.1,
